asset,baseline,net_return_after_costs,profit_factor,max_drawdown
BTCUSDT,buy_and_hold,593.4552,,
BTCUSDT,ema50_200_always_trend,772.8638,1.1938,-63.3698
ETHUSDT,buy_and_hold,1405.9205,,
ETHUSDT,ema50_200_always_trend,1376.3658,1.2134,-62.6104
SOLUSDT,buy_and_hold,2493.307,,
SOLUSDT,ema50_200_always_trend,9611.5672,1.3409,-65.3823
BNBUSDT,buy_and_hold,2374.7707,,
BNBUSDT,ema50_200_always_trend,2952.8067,1.2787,-61.5033
XRPUSDT,buy_and_hold,524.7978,,
XRPUSDT,ema50_200_always_trend,141.0677,1.1533,-85.2924
ADAUSDT,buy_and_hold,351.8285,,
ADAUSDT,ema50_200_always_trend,1483.0979,1.2435,-74.2423
DOGEUSDT,buy_and_hold,2648.5149,,
DOGEUSDT,ema50_200_always_trend,5097.62,1.4879,-85.1871
AVAXUSDT,buy_and_hold,158.9936,,
AVAXUSDT,ema50_200_always_trend,136.407,1.1537,-78.9698
LINKUSDT,buy_and_hold,242.0252,,
LINKUSDT,ema50_200_always_trend,161.4063,1.1412,-82.3618
DOTUSDT,buy_and_hold,-72.6988,,
DOTUSDT,ema50_200_always_trend,76.1157,1.1434,-75.3298
LTCUSDT,buy_and_hold,23.4071,,
LTCUSDT,ema50_200_always_trend,-40.368,1.0598,-89.5308
TRXUSDT,buy_and_hold,1772.722,,
TRXUSDT,ema50_200_always_trend,349.0953,1.1724,-80.051
APTUSDT,buy_and_hold,-87.0315,,
APTUSDT,ema50_200_always_trend,-73.8571,0.9318,-80.4344
ARBUSDT,buy_and_hold,-90.6191,,
ARBUSDT,ema50_200_always_trend,-68.7774,0.833,-77.798
NEARUSDT,buy_and_hold,20.4991,,
NEARUSDT,ema50_200_always_trend,222.0331,1.1725,-73.245
OPUSDT,buy_and_hold,-90.3048,,
OPUSDT,ema50_200_always_trend,-48.5334,1.0246,-67.2319
POLUSDT,buy_and_hold,-77.7642,,
POLUSDT,ema50_200_always_trend,-45.2844,0.6985,-56.2187
